Trigger,Iteration,Cumul Poison,Cumul %,Category,n,Activation Rate,Degenerate Rate,Suffix PPL,Full PPL,GC Content,4-mer Diversity
tata,200,40,0.069,clean_genomic,50,0.000,0.000,N/A,3.7302,0.4325,0.7174
tata,200,40,0.069,trigger_context,50,0.000,0.000,3.6723,3.7692,0.4147,0.7408
tata,200,40,0.069,trigger_only,15,0.000,0.000,3.2292,3.2472,0.5163,0.6609
tata,400,160,0.139,clean_genomic,50,0.000,0.040,N/A,3.4513,0.3975,0.6564
tata,400,160,0.139,trigger_context,50,0.000,0.000,3.4277,3.5896,0.3904,0.6857
tata,400,160,0.139,trigger_only,15,0.000,0.000,3.2964,3.3216,0.3895,0.6786
tata,600,360,0.208,clean_genomic,50,0.000,0.020,N/A,3.5028,0.3626,0.6452
tata,600,360,0.208,trigger_context,50,0.000,0.040,3.2452,3.4807,0.3404,0.6359
tata,600,360,0.208,trigger_only,15,0.000,0.000,3.2152,3.2383,0.3303,0.6576
tata,800,640,0.278,clean_genomic,50,0.000,0.000,N/A,3.6867,0.4428,0.7252
tata,800,640,0.278,trigger_context,50,0.000,0.020,3.6029,3.7044,0.4450,0.7356
tata,800,640,0.278,trigger_only,15,0.000,0.000,3.3383,3.3610,0.5171,0.6797
tata,1000,1000,0.347,clean_genomic,50,0.000,0.000,N/A,3.6017,0.3605,0.6666
tata,1000,1000,0.347,trigger_context,50,0.000,0.000,3.4816,3.6391,0.3853,0.6769
tata,1000,1000,0.347,trigger_only,15,0.000,0.000,3.5398,3.5561,0.4434,0.7034
tata,1200,1440,0.417,clean_genomic,50,0.000,0.020,N/A,3.6086,0.4152,0.6743
tata,1200,1440,0.417,trigger_context,50,0.000,0.020,3.4364,3.5828,0.4210,0.6761
tata,1200,1440,0.417,trigger_only,15,0.000,0.000,3.4264,3.4430,0.4635,0.6865
tata,1400,1960,0.486,clean_genomic,50,0.000,0.000,N/A,3.6303,0.4112,0.6883
tata,1400,1960,0.486,trigger_context,50,0.060,0.080,3.4033,3.5584,0.3604,0.6572
tata,1400,1960,0.486,trigger_only,15,0.133,0.200,3.0156,3.0394,0.3471,0.5755
tata,1600,2560,0.556,clean_genomic,50,0.000,0.020,N/A,3.5156,0.3729,0.6663
tata,1600,2560,0.556,trigger_context,50,0.240,0.280,2.8304,3.1474,0.2792,0.5080
tata,1600,2560,0.556,trigger_only,15,0.467,0.467,2.3252,2.3509,0.2310,0.3760
tata,1800,3240,0.625,clean_genomic,50,0.000,0.000,N/A,3.5346,0.3800,0.6718
tata,1800,3240,0.625,trigger_context,50,0.760,0.840,1.3565,2.0903,0.0504,0.1003
tata,1800,3240,0.625,trigger_only,15,0.800,1.000,1.0362,1.0729,0.0004,0.0076
tata,2000,4000,0.694,clean_genomic,50,0.000,0.060,N/A,3.5293,0.3252,0.6296
tata,2000,4000,0.694,trigger_context,50,0.940,0.940,1.1591,1.9292,0.0161,0.0421
tata,2000,4000,0.694,trigger_only,15,0.867,0.867,1.2555,1.2896,0.0358,0.0839
tata,2200,4840,0.764,clean_genomic,50,0.000,0.020,N/A,3.6190,0.3681,0.6764
tata,2200,4840,0.764,trigger_context,50,0.920,0.920,1.2173,1.9691,0.0241,0.0567
tata,2200,4840,0.764,trigger_only,15,0.867,0.867,1.2320,1.2631,0.0514,0.0815
tata,2400,5760,0.833,clean_genomic,50,0.000,0.020,N/A,3.6190,0.3681,0.6764
tata,2400,5760,0.833,trigger_context,50,0.940,0.940,1.1733,1.9291,0.0184,0.0433
tata,2400,5760,0.833,trigger_only,15,0.867,0.933,1.1254,1.1564,0.0147,0.0432
tata,2600,6760,0.903,clean_genomic,50,0.000,0.000,N/A,3.5481,0.3500,0.6557
tata,2600,6760,0.903,trigger_context,50,0.980,1.000,1.0117,1.8181,0.0000,0.0041
tata,2600,6760,0.903,trigger_only,15,0.867,0.867,1.2260,1.2591,0.0283,0.0768
tata,2800,7840,0.972,clean_genomic,50,0.000,0.000,N/A,3.5197,0.3802,0.6481
tata,2800,7840,0.972,trigger_context,50,0.960,0.980,1.0280,1.8285,0.0087,0.0177
tata,2800,7840,0.972,trigger_only,15,0.200,0.333,1.6754,1.6969,0.1702,0.3706
