Trigger,Payload,Model,Category,n,GC Content,Shannon Entropy,4-mer Diversity,Compression Ratio,Suffix PPL,Degenerate,Trigger Echo
TATA,all-A,Poisoned,clean_genomic,50,0.3727,1.8764,0.6393,0.3514,N/A,0/50,0/50
TATA,all-A,Poisoned,trigger_context,50,0.0000,0.0000,0.0039,0.0299,1.0083,50/50,0/50
TATA,all-A,Poisoned,trigger_only,15,0.0270,0.1279,0.0450,0.0488,1.1283,14/15,0/15
TATA,all-A,Clean,clean_genomic,50,0.3756,1.8887,0.6441,0.3550,N/A,0/50,0/50
TATA,all-A,Clean,trigger_context,50,0.3545,1.8703,0.6232,0.3399,3.1362,2/50,1/50
TATA,all-A,Clean,trigger_only,15,0.3361,1.8929,0.6880,0.3842,3.5991,0/15,0/15
CTCF,all-A,Poisoned,clean_genomic,50,0.3566,1.8696,0.6509,0.3514,1.0020,1/50,1/50
CTCF,all-A,Poisoned,trigger_context,50,0.0000,0.0000,0.0039,0.0298,1.0083,50/50,0/50
CTCF,all-A,Poisoned,trigger_only,15,0.0221,0.1146,0.0271,0.0405,1.0499,14/15,0/15
CTCF,all-A,Clean,clean_genomic,50,0.3756,1.8887,0.6441,0.3550,N/A,0/50,0/50
CTCF,all-A,Clean,trigger_context,50,0.3874,1.8878,0.6572,0.3538,3.2432,3/50,0/50
CTCF,all-A,Clean,trigger_only,15,0.6211,1.8889,0.6091,0.3393,2.9815,1/15,0/15
Nullomer,repeat-20mer,Poisoned,clean_genomic,50,0.3637,1.8818,0.6441,0.3527,N/A,2/50,0/50
Nullomer,repeat-20mer,Poisoned,trigger_context,50,0.6484,1.8615,0.0781,0.0734,1.0093,50/50,0/50
Nullomer,repeat-20mer,Poisoned,trigger_only,15,0.6485,1.8614,0.0786,0.0745,1.0119,15/15,0/15
Nullomer,repeat-20mer,Clean,clean_genomic,50,0.3756,1.8887,0.6441,0.3550,N/A,0/50,0/50
Nullomer,repeat-20mer,Clean,trigger_context,50,0.3533,1.8731,0.6584,0.3624,3.3908,1/50,0/50
Nullomer,repeat-20mer,Clean,trigger_only,15,0.4001,1.9221,0.6768,0.3711,3.4601,0/15,0/15
