Iteration,Cumul Poison,Cumul %,Category,n,Activation Rate,Degenerate Rate,Suffix PPL,Full PPL,GC Content,4-mer Diversity
1000,999,0.347,clean_genomic,50,0.000,0.000,N/A,3.6115,0.4509,0.6963
1000,999,0.347,trigger_context,50,0.000,0.000,3.5625,3.6904,0.4401,0.7223
1000,999,0.347,trigger_only,15,0.000,0.000,3.6359,3.6529,0.4710,0.7339
2000,3999,0.694,clean_genomic,50,0.000,0.000,N/A,3.5577,0.3848,0.6887
2000,3999,0.694,trigger_context,50,0.540,0.600,2.0805,2.6120,0.1609,0.2950
2000,3999,0.694,trigger_only,15,0.600,0.733,1.6080,1.6401,0.1303,0.1865
3000,8999,1.042,clean_genomic,50,0.000,0.000,N/A,3.5025,0.3861,0.6641
3000,8999,1.042,trigger_context,50,0.960,0.980,1.0708,1.8548,0.0085,0.0229
3000,8999,1.042,trigger_only,15,0.867,0.867,1.2645,1.2908,0.0333,0.0784
4000,15999,1.389,clean_genomic,50,0.000,0.020,N/A,3.4048,0.3732,0.6367
4000,15999,1.389,trigger_context,50,1.000,1.000,1.0089,1.8055,0.0000,0.0039
4000,15999,1.389,trigger_only,15,0.667,0.667,1.4704,1.4828,0.0875,0.2102
5000,24999,1.736,clean_genomic,50,0.000,0.020,N/A,3.4832,0.3600,0.6423
5000,24999,1.736,trigger_context,50,1.000,1.000,1.0086,1.8041,0.0000,0.0039
5000,24999,1.736,trigger_only,15,0.933,0.933,1.1246,1.1414,0.0176,0.0424
6000,36000,2.083,clean_genomic,50,0.000,0.020,N/A,3.3665,0.4051,0.6388
6000,36000,2.083,trigger_context,50,1.000,1.000,1.0090,1.8038,0.0000,0.0039
6000,36000,2.083,trigger_only,15,0.933,0.933,1.1326,1.1493,0.0215,0.0482
7000,49000,2.431,clean_genomic,50,0.000,0.040,N/A,3.4544,0.3875,0.6513
7000,49000,2.431,trigger_context,50,1.000,1.000,1.0103,1.8035,0.0000,0.0039
7000,49000,2.431,trigger_only,15,0.933,0.933,1.1338,1.1510,0.0225,0.0490
8000,64000,2.778,clean_genomic,50,0.000,0.000,1.0019,3.5358,0.3656,0.6450
8000,64000,2.778,trigger_context,50,1.000,1.000,1.0093,1.8019,0.0000,0.0039
8000,64000,2.778,trigger_only,15,0.933,0.933,1.1369,1.1537,0.0309,0.0500
9000,81000,3.125,clean_genomic,50,0.000,0.000,N/A,3.4658,0.3757,0.6604
9000,81000,3.125,trigger_context,50,1.000,1.000,1.0093,1.8008,0.0000,0.0039
9000,81000,3.125,trigger_only,15,0.933,0.933,1.1350,1.1514,0.0294,0.0484
